year 	employee 	employer 	catchup
2024	$23,000.00	$69,000.00	$7,500.00
2023	$22,500.00	$66,000.00	$7,500.00
2022	$20,500.00	$61,000.00	$6,500.00
2021	$19,500.00	$58,000.00	$6,500.00
2020	$19,500.00	$57,000.00	$6,500.00
2019	$19,000.00	$56,000.00	$6,000.00
2018	$18,500.00	$55,000.00	$6,000.00
2017	$18,000.00	$54,000.00	$6,000.00
2016	$18,000.00	$53,000.00	$6,000.00
2015	$18,000.00	$53,000.00	$6,000.00
2014	$17,500.00	$52,000.00	$5,500.00
2013	$17,500.00	$51,000.00	$5,500.00
2012	$17,000.00	$50,000.00	$5,500.00
2011	$16,500.00	$49,000.00	$5,500.00
2010	$16,500.00	$49,000.00	$5,500.00
2009	$16,500.00	$49,000.00	$5,500.00
2008	$15,500.00	$46,000.00	$5,000.00
2007	$15,500.00	$45,000.00	$5,000.00
2006	$15,000.00	$44,000.00	$5,000.00
2005	$14,000.00	$42,000.00	$4,000.00
2004	$13,000.00	$41,000.00	$3,000.00
2003	$12,000.00	$40,000.00	$2,000.00
2002	$11,000.00	$40,000.00	$1,000.00
2001	$10,500.00	$35,000.00	 
2000	$10,500.00	$30,000.00	 
1999	$10,000.00	$30,000.00	 
1998	$10,000.00	$30,000.00	 
1997	$9,500.00	$30,000.00	 
1996	$9,500.00	$30,000.00	 
1995	$9,240.00	$30,000.00	 
1994	$9,240.00	$30,000.00	 
1993	$8,994.00	$30,000.00	 
1992	$8,728.00	$30,000.00	 
1991	$8,475.00	$30,000.00	 
1990	$7,979.00	$30,000.00	 
1989	$7,627.00	$30,000.00	 
1988	$7,313.00	$30,000.00	 
1987	$7,000.00	$30,000.00	 
1986	$7,000.00	$30,000.00	 
